item,zone,word,RT,log_RT,gpt2_surprisal
1,2,you,369.01190476190476,5.910828905747497,3.246448278427124
1,3,were,368.18390804597703,5.908582563460364,4.155486106872559
1,4,to,344.3181818181818,5.841566177019254,1.6343013048171997
1,5,journey,354.63953488372096,5.871101878919248,9.875773429870605
1,6,to,349.6741573033708,5.857001741720005,1.665705919265747
1,7,the,376.3707865168539,5.9305747918321705,1.6869174242019653
1,8,North,327.3103448275862,5.7909087875691805,4.5456156730651855
1,9,of,365.4943820224719,5.9012509084081515,4.538362503051758
1,10,"England,",344.9310344827586,5.843344496998706,3.2611255645751953
1,11,you,400.2696629213483,5.992138477269399,1.2644554376602173
1,12,would,372.59090909090907,5.920481059294715,0.7200813889503479
1,13,come,350.37931034482756,5.859016311499407,3.9534707069396973
1,14,to,319.08045977011494,5.765443295966157,1.5315755605697632
1,15,a,355.9310344827586,5.874736988722199,2.1570756435394287
1,16,valley,343.8588235294118,5.840231176420792,6.629080295562744
1,17,that,330.7325581395349,5.801310067332561,3.254007339477539
1,18,is,346.77906976744185,5.848687890626747,1.7938367128372192
1,19,surrounded,360.28735632183907,5.886901925053485,5.267955780029297
1,20,by,337.04651162790697,5.820220937528954,0.13559159636497498
1,21,moors,359.36470588235295,5.8843377666400745,9.330524638295174
1,22,as,395.43023255813955,5.979974368506869,6.0987229347229
1,23,high,414.5977011494253,6.027308655243001,4.335244655609131
1,24,as,390.95348837209303,5.9685885973394965,0.036165863275527954
1,25,mountains.,434.03614457831327,6.073127813071125,5.898821294307709
1,26,It,457.3452380952381,6.125438550099417,2.473604440689087
1,27,is,399.92857142857144,5.991285959733634,0.5527043342590332
1,28,in,325.2470588235294,5.784585074533986,4.4845662117004395
1,29,this,318.2674418604651,5.7628920414674525,0.9777402877807617
1,30,valley,341.22352941176473,5.832537774001167,0.20214013755321503
1,31,where,375.8,5.929057086979365,3.251721143722534
1,32,you,363.1294117647059,5.89475927697046,1.6264686584472656
1,33,would,365.4367816091954,5.901093300096284,2.292536497116089
1,34,find,323.5581395348837,5.779378818148314,1.3292455673217773
1,35,the,305.32941176470587,5.721391232358167,1.2970895767211914
1,36,city,355.85714285714283,5.874529366206867,5.863070487976074
1,37,of,320.2988505747126,5.7692544680189535,0.22675050795078278
1,38,"Bradford,",418.4367816091954,6.036525819042662,8.059793591499329
1,39,where,440.5764705882353,6.088084029828845,1.7435365915298462
1,40,once,377.3095238095238,5.9330658686594395,6.452592372894287
1,41,a,353.95402298850576,5.869167026135281,2.204892635345459
1,42,thousand,397.41379310344826,5.984978037878375,4.604693412780762
1,43,spinning,455.13953488372096,6.120604042011407,12.922134399414062
1,44,jennies,459.0238095238095,6.1291020813161,13.40089775621891
1,45,that,539.3176470588236,6.290304723963995,6.3235626220703125
1,46,hummed,538.5348837209302,6.288852273924401,10.333628356456757
1,47,and,432.3139534883721,6.069152068479476,2.522423267364502
1,48,clattered,407.40697674418607,6.009812628693167,8.59184980392456
1,49,spun,414.81176470588235,6.027824838310647,11.063379287719727
