item,zone,word,log_RT,gpt2_surprisal,trigram_surprisal,pcfg_surprisal,locality_pos,gpt2_surprisal_std,trigram_surprisal_std,pcfg_surprisal_std,locality_pos_std,log_RT_std,error
9,391,years.,6.772066458742561,5.660708546638489,5.697093486505405,,389,0.510275347769885,0.45226953117891594,,-0.41624716571192333,8.598327071447065,8.471778785200133
9,40,tulip,6.684827753715337,7.089891195297241,5.296649309447339,,38,0.9686655526681492,-0.10394439837049618,,-1.5951233665010172,7.813499031890104,7.573269974828403
9,39,"thirty-seven,",6.75938416155773,16.13242357969284,5.29162837839724,,37,3.8689304532896767,-0.11091843357782402,,-1.5984819881556869,8.484232961114458,7.524738208698618
5,1013,bones?',6.685050461197529,10.829632222652435,5.698769932832657,,1011,2.168134813930576,0.4545981024324928,,1.6728155034926817,7.815502581536897,7.277805147682114
4,1085,hedge-king!',6.520054523203348,2.9753760620951653,2.9055340056358423,,1083,-0.35100722445065796,-3.425185448520365,,1.914636262628906,6.3311449387861884,6.418194730449952
8,602,"claims,",6.46413389101052,2.445082664489746,5.739792912179234,,600,-0.5210913626905601,0.5115787100962557,,0.2924220034234009,5.8280645672815075,5.9572952252287665
10,33,noblewoman.,6.543612040435879,12.577719688415527,5.29162837839724,,31,2.7288092472251826,-0.11091843357782402,,-1.6186337180837056,6.54307610008285,5.866331406771004
8,30,forty-seven.,6.48011029158061,9.615927040576937,5.293304824724492,,28,1.7788559714958514,-0.10858986232424711,,-1.628709583047715,5.9717935134492395,5.530637232518268
3,32,air,6.43897337503614,4.980030536651611,5.621607866467185,,30,0.2919574632360602,0.34742057656459074,,-1.6219923397383753,5.601712302879461,5.529306851996918
10,31,eighty-six-year-old,6.532867188320224,16.468128978274763,4.785823685681349,,29,3.976603231563214,-0.8134773215280026,,-1.6253509613930452,6.446411881848207,5.46021428042053
