item,zone,word,RT,log_RT,pcfg_surprisal,pcfg_std,log_rt_std
3,4,and,405.5425531914894,6.00522580810264,27.631021115928547,0.27735009811261524,1.4114051356573645
3,5,nearly,383.0744680851064,5.948229403923451,27.631021115928547,0.27735009811261524,0.353356855737758
3,6,dark,382.6777777777778,5.947193323794512,27.631021115928547,0.27735009811261524,0.3341236635027446
3,7,on,367.5869565217391,5.906959907049334,27.631021115928547,0.27735009811261524,-0.41274621356340646
3,8,the,392.6263736263736,5.972858456423524,27.631021115928547,0.27735009811261524,0.8105563406706539
3,9,last,349.4891304347826,5.8564724608605765,27.631021115928547,0.27735009811261524,-1.349965962191909
3,10,evening,367.26881720430106,5.90609405187424,27.631021115928547,0.27735009811261524,-0.4288194482149651
3,11,of,378.44565217391306,5.936072475180564,27.631021115928547,0.27735009811261524,0.1276826622381388
3,12,the,358.0430107526882,5.880653120951542,27.631021115928547,0.27735009811261524,-0.901090174587261
3,13,old,392.9010989010989,5.973557923458184,27.631021115928547,0.27735009811261524,0.8235408421236863
4,5,the,339.29347826086956,5.826865450446804,27.631021115928547,0.27735009811261524,-1.8995733785364546
6,4,story,371.7590361445783,5.918245892091466,24.727728431268083,-3.328201177351374,-0.20323971516247016
7,4,said,403.87179487179486,6.001097488172089,27.631021115928547,0.27735009811261524,1.3347693923261699
